Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Bombay Shaving,2014.0,Unknown,Ecommerce,Provides a range of male grooming products,Shantanu Deshpande,Sixth Sense Ventures,6300000.0,Series E,2019-01-01
Ruangguru,2014.0,Mumbai,Edtech,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students","Adamas Belva Syah Devara, Iman Usman.",General Atlantic,150000000.0,Series C,2019-01-01
Eduisfun,2014.0,Mumbai,Edtech,It aims to make learning fun via games.,Jatin Solanki,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",28000000.0,Series D,2019-01-01
HomeLane,2014.0,Chennai,Interior design,Provides interior designing solutions,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",30000000.0,Series D,2019-01-01
Nu Genes,2004.0,Telangana,AgriTech,"It is a seed company engaged in production, processing and marketing of seeds",Narayana Reddy Punyala,Innovation in Food and Agriculture (IFA),6000000.0,Series E,2019-01-01
FlytBase,2004.0,Pune,Technology,A drone automation platform,Nitin Gupta,Undisclosed,4000000.0,Fresh Funding,2019-01-01
Finly,2004.0,Bengaluru,SaaS,"It builds software products that makes work simpler, pleasant, and productive","Vivek AG, Veekshith C Rai","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",4000000.0,Pre-Seed,2019-01-01
Kratikal,2013.0,Noida,Technology,It is a product-based cybersecurity solutions provider,"Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa","Gilda VC, Art Venture, Rajeev Chitrabhanu.",1000000.0,Series A+,2019-01-01
Quantiphi,2013.0,Unknown,AI & Tech,It is an AI and big data services company providing business solutions.,Renuka Ramnath,Multiples Alternate Asset Management,20000000.0,Series A,2019-01-01
Lenskart,2010.0,Delhi,E-commerce,It is a eyewear company,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank,275000000.0,Series G,2019-01-01
Cub McPaws,2010.0,Mumbai,E-commerce & AR,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,"Abhay Bhat, Kinnar Shah",Venture Catalysts,4000000.0,Series H,2019-01-01
Appnomic,2010.0,Bengaluru,SaaS,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",D Padmanabhan,Avataar Ventures,22000000.0,Series F,2019-01-01
Kaleidofin,2018.0,Chennai,Finance,Platform that provides complete financial solutions for excluded individuals and households,"Puneet Gupta, Sucharita Mukherjee",Oikocredit,5000000.0,Series A,2019-01-01
JobSquare,2019.0,Ahmedabad,HR tech,Technology-based platform that is connecting suitable applicants to the right recruiters,Ishit Jethwa,Titan Capital,140500.0,Bridge,2019-01-01
Open Secret,2019.0,Unknown,Food tech,It produces and sells top quality snacks,"Ahana Gautam, Udit Kejriwal",Matrix Partners,4000000.0,Series B+,2019-01-01
LivFin,2017.0,Delhi,Finance,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",Rakesh Malhotra,Inflection Point Ventures,5000000.0,Series D,2019-01-01
Byju's,2011.0,Unknown,Edtech,Provides online learning classes,Byju Raveendran,"South Africa’s Naspers Ventures, the CPP Investment Board",540000000.0,Seed Round,2019-01-01
Zest Money,2015.0,Bengaluru,Finance,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,"Aman Gupta, Sameer Mehta",Goldman Sachs.,15000000.0,Series B,2019-01-01
Witblox,2014.0,Unknown,Edtech,Offers a range of robotics learning tools,Amit Modi,Mumbai Angels Network,182700.0,Series D,2019-01-01
Azah Personal Care Pvt. Ltd.,2018.0,Gurugram,Health,Aims to solve some problems in the feminine hygiene sector,"Mohammed, Shashwat Diesh","Kunal Bahl, Rohit Bansal.",4000000.0,Series B+,2019-01-01
SalaryFits,2015.0,Unknown,Finance,A platform that promotes financial well-being of employees at workplace,Renato Araujo,Brazilian VC Fund Confrapar,5000000.0,Series C,2019-01-01
Pristyn Care,2018.0,Unknown,Healthcare,Delivers advanced medical care & clinical excellence aided by next-level technology,"Harsimarbir Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList.",12000000.0,Series B,2019-01-01
Springboard,2013.0,Unknown,Edtech,Offers online courses and extensive mentor-based learning,"Gautam Tambay, Parul Gupta",Reach Capital,11000000.0,Series H,2019-01-01
DROR Labs Pvt. Ltd,2018.0,Delhi,Safety tech,It uses technology to create a trust-based network of responsible citizens to ensure safety,"Dhiraj Naubhar, Dheeraj Bansal",Inflection Point Ventures,4000000.0,Series F,2019-01-01
Medlife,2014.0,Bengaluru,Pharmaceutical,It solves inadequacies in the healthcare delivery system through technology,"Tushar Kumar, Prashant Singh",Wilson Global Opportunities Fund,15500000.0,Seed Round,2019-01-01
Seekify,2019.0,Delhi,SaaS,Customer Experience (CX) Automation platform,"Arihant Jain, Ajeet Kushwaha",Sequoia Capita,1500000.0,Early Seed,2019-01-01
Toffee Insurance,2017.0,Haryana,Insurance technology,Provides variety of insurance plans and policies,"Nishant Jain, Rohan Kumar",IVM Intersurer,5500000.0,Series A,2019-01-01
Fireflies .ai,2017.0,Unknown,AI,Developer of an artificial intelligence-powered assistant for businesses,Sam Udotong,Canaan Partners,5000000.0,Series A+,2019-01-01
HungerBox,2015.0,Bengaluru,Foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Sandipan Mitra, Uttam Kumar","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",12000000.0,Series C,2019-01-01
Bijak,2019.0,Unknown,AgriTech,B2B platform for agricultural commodities.,"Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi","Omnivore and Omidyar Network India, Sequoia Capital",2500000.0,Pre-Seed,2019-01-01
Licious,2019.0,Bengaluru,Food,Online meat shop,"Vivek Gupta, Abhay Hanjura",Vertex Growth Fund,30000000.0,Series E,2019-01-01
truMe,2019.0,Unknown,IoT,A global platform for Identity and Access Management,"Babu Dayal, Pramod Uniyal, Lalit Mehta",Rajan Kaistha,140000.0,Private Equity,2019-01-01
Pumpkart,2014.0,Chandigarh,E-marketplace,B2B model for appliances and electrical products,KS Bhatia,Dinesh Dua,4000000.0,Series B+,2019-01-01
Asteria Aerospace,2011.0,Bengaluru,Robotics & AI,"Develops drones that are used by the military, paramilitary, police forces and in various industries.","Neel Mehta, Nihar Vartak",Reliance Industries,230000000.0,Series E,2019-01-01
Rivigo,2014.0,Unknown,Transport,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies","Deepak Garg, Gazal Kalra","SAIF Partners India VI Ltd, Spring Canter Investment Ltd",20000000.0,Series F,2019-01-01
HappyEasyGo,2017.0,Gurugram,Travel,Online flight booking,"Vivek Prabhakar, Boris Zha","Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners",49400000.0,Series B+,2019-01-01
Zetwerk,2018.0,Bengaluru,Manufacturing,Provides facilities to get products manufactured.,Utham Gowda,"Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital",32000000.0,Series B,2019-01-01
Observe.AI,2018.0,Bengaluru,AI,Creates a voice AI platform,Swapnil,Scale Venture Partners,26000000.0,Series A,2019-01-01
Freshokartz,2016.0,Jaipur,E-marketplace,Online fruits and vegetables delivery company,Rajendra Lora,ThinkLab,150000.0,Series D,2019-01-01
Lil’ Goodness and sCool meal,2016.0,Bengaluru,Food & Nutrition,It empowers moms to provide the best of foods to their Lil' ones,Nirmit Parikh,Alteria Capital,400000.0,Early Seed,2019-01-01
Trell,2016.0,Bengaluru,Social Media,Blogging platform that enables people to create visual collections of their travel and local experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",2000000.0,Series D1,2019-01-01
VMate,2016.0,Unknown,Unknown,A short video platform,Bhavish Aggarwal,Alibaba,100000000.0,Series H,2019-01-01
Bombay Shirt Company,2012.0,Mumbai,E-commerce,Online custom shirt brand,Akshay Narvekar,Lightbox Ventures,8000000.0,Venture - Series Unknown,2019-01-01
Slintel,2016.0,Unknown,SaaS,"It helps sales and marketing teams understand purchase intent of buyers on buying patterns, usage and renewals",Deepak Anchala,Stellaris Ventures,1500000.0,Series B+,2019-01-01
MyGameMate,2016.0,Bengaluru,E-Sports,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,Parshavv Jain& Raju Kushwaha,"Jindagi Live Angels,",100000.0,Series H,2019-01-01
Afinoz,2016.0,Noida,Finance,Online financial marketplace for customized rate quotes on loans and investment products in India,Rachna Suneja,Fintech innovation lab,4000000.0,Series A+,2019-01-01
Rein Games,2016.0,Noida,Technology,"It develops, publishes and distributes games across various platforms","Vaibhav Gupta, Himanshu Devra, Pranav Chaudhary, Nishtha Gupta","Manipal Education and Medical Group (MEMG) family office, Titan Capital",50000000.0,Seed,2019-01-01
Ecozen,2016.0,Pune,AgriTech,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,"Devendra Gupta, Prateek Singhal, Vivek Pandey",Innovation in Food & Agriculture Fund (IFA Fund),6000000.0,Series A,2019-01-01
Box8,2011.0,Mumbai,Foodtech,Enables to order food online,"Amit Raj, Anshul Gupta",Trifecta Capital,120000000.0,Pre-Seed,2019-01-01
Awign Enterprises,2016.0,Bengaluru,Unknown,It supplies workforce to the economy,Bhavish Aggarwal,"Work10M, Michael and Susan Dell Foundation, Eagle10, Unitus Ventures.",4000000.0,Series A,2019-01-01
Purplle,2012.0,Mumbai,Cosmetics,Online makeup and beauty products retailer,"Manish Taneja, Rahul Dash",Goldman Sachs,30000000.0,Series C,2019-01-01
Freightwalla,2017.0,Mumbai,B2B,Provides digital platform for businesses to plan and manage their international freight shipments online,"Sanjay Bhatia, Bharat Tanvi, Punit Java","Amplo, FJ Labs, Rogue One Capital",4000000.0,Series A,2019-01-01
TapChief,2016.0,Bengaluru,Unknown,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,"Shashank Murali, Binay Krishna, Arjun Krishna",Blume Ventures.,1500000.0,Early Seed,2019-01-01
eJOHRI,2015.0,Mumbai,Jewellery,Omnichannel marketplace for gems and jewellery,"Jignesh Mehta, Shailen Mehta",Rajesh Ranavat,1000000.0,Series C,2019-01-01
Ninjacart,2015.0,Unknown,B2B Supply Chain,"It connects producers of food directly to retailers, restuarants and service providers.","Thirukumaran Nagarajanin, Vasudevan Chinnathambi","Walmart, Flipkart",4000000.0,Series D,2019-01-01
